categorie,nom_exercice,description,gif_url
Exercices epaules,Presse à épaules inclinée,Cette machine guidée pour travailler les muscles deltoïdes est excellente que vous ayez envie de prendre de la force ou d’obtenir des épaules musclées.,https://www.docteur-fitness.com/wp-content/uploads/2021/08/presse-epaule-exercice-musculation.gif
Exercices epaules,Élévations latérales avec kettlebell,Les élévations latérales avec kettlebells (kettlebell lateral raise) sont une variante des élévations latérales et c’est un exercice qui permet de renforcer les muscles de l’épaule.,https://www.docteur-fitness.com/wp-content/uploads/2021/12/elevation-laterales-avec-kettlebell.gif
Exercices epaules,Tirage menton avec kettlebell,Le tirage menton avec kettlebell (en anglais kettlebell upright rows) est un exercice composé qui cible les deltoïdes et les trapèzes. Il sollicite aussi dans une moindre mesure les biceps et les muscles grands dorsaux. C’est donc un excellent exercice pour travailler le haut du corps.,https://www.docteur-fitness.com/wp-content/uploads/2021/12/tirage-menton-avec-kettlebell.gif
Exercices epaules,Développé épaule avec kettlebell,Le développé debout avec kettlebell à un bras (single arm kettlebell push press) est un exercice permettant de renforcer les muscles des épaules.,https://www.docteur-fitness.com/wp-content/uploads/2021/12/developpe-epaule-avec-kettlebell.gif
Exercices epaules,Tirage menton barre guidée,Le tirage menton barre guidée est une variante du tirage menton barre libre et c’est un exercice utilisé pour cibler les muscles des épaules.,https://www.docteur-fitness.com/wp-content/uploads/2021/11/tirage-menton-machine-guidee.gif
Exercices epaules,Élévations latérales avec landmine,Le mouvement en arc de cercle des élévations latérales avec landmine (landmine lateral raise) cible vos muscles deltoïdes.,https://www.docteur-fitness.com/wp-content/uploads/2000/08/elevation-laterale-landmine-exercice-musculation.gif
Exercices epaules,Oiseau assis sur un banc,L’oiseau avec haltères en position assise sur un banc (en anglais seated bent over dumbbell reverse fly) est une variante de l’oiseau debout buste penché avec haltères. C’est un exercice utilisé pour muscler les deltoïdes postérieurs. Cette variante est préférable si vous ressentez une tension en bas du dos avec la version debout.,https://www.docteur-fitness.com/wp-content/uploads/2021/12/oiseau-assis-sur-banc.gif
Exercices epaules,Développé épaule unilatéral avec élastique,"Si vous ne deviez choisir qu’un seul exercice pour muscler les épaules, ce serait probablement un mouvement de développé. Mais il n’est pas nécessaire d’avoir des charges libres pour faire des développés. Le développé épaule avec élastique est une excellente variante qui permet de renforcer vos deltoïdes tout en ménageant les articulations.",https://www.docteur-fitness.com/wp-content/uploads/2022/08/developpe-epaule-unilateral-avec-elastique.gif
Exercices epaules,Développé épaules à la Smith machine,"Le développé épaules est un exercice composé du haut du corps très intéressant. Il peut être effectué à l’aide de poids libres comme les haltères, les kettlebells, les bandes de résistance, à la barre ou avec l’aide d’appareils de musculation comme la Smith Machine. Le mouvement implique l’utilisation de vos muscles stabilisateurs des avant-bras, des bras et des épaules afin que vos articulations restent en place pour maintenir la posture pendant que vous soulevez les charges.",https://www.docteur-fitness.com/wp-content/uploads/2022/08/developpe-epaules-smith-machine.gif
Exercices epaules,Tirage menton avec élastique,"Le tirage vertical, aussi appelé tirage menton ou rowing menton (en anglais upright rows), est un exercice très populaire pour travailler les deltoïdes ainsi que les muscles trapèzes. Cet exercice souffre d’une image négative à cause du stress articulaire qu’il engendre, mais les bandes de résistance peuvent vous apporter une solution plus adaptée aux articulations qu’avec une barre ou des haltères.",https://www.docteur-fitness.com/wp-content/uploads/2022/02/tirage-menton-avec-elastique.gif
Exercices epaules,Oiseau avec élastique,"L’oiseau avec élastique, aussi appelé élévation latérale buste penché (en anglais bent over reverse fly) est une variante de l’oiseau avec haltère qui permet de renforcer les muscles des épaules.",https://www.docteur-fitness.com/wp-content/uploads/2022/09/oiseau-avec-elastique.gif
Exercices epaules,Développé épaules avec élastique,Le développé épaules est le meilleur des exercices pour développer la force et la masse musculaire des deltoïdes. Le développé épaules avec élastique est une excellente variante qui vous permettra de développer des épaules larges tout en ménageant vos articulations.,https://www.docteur-fitness.com/wp-content/uploads/2022/08/developpe-epaules-avec-elastique.gif
Exercices epaules,Élévations latérales inclinées avec haltère,"Les élévations latérales inclinées (en anglais leaning dumbbell lateral raise) améliorent l’esthétique générale et la définition de vos épaules. Par rapport aux élévations latérales avec haltère classique, cette variante en position inclinée (en anglais leaning dumbbell lateral raise) met le deltoïde externe sous tension sur une plus grande partie de l’amplitude du mouvement, ce qui rend chaque répétition plus efficace.",https://www.docteur-fitness.com/wp-content/uploads/2022/06/elevation-laterale-incline-haltere.gif
Exercices epaules,Rotation externe de l’épaule couchée avec haltère,"La plupart d’entre nous se sont blessés ou ont entendu quelqu’un qui s’est blessé la coiffe des rotateurs. Celle-ci est constituée d’une combinaison de 4 muscles de l’épaule qui stabilisent non seulement l’épaule, mais assurent également la mobilité de nos omoplates.",https://www.docteur-fitness.com/wp-content/uploads/2022/06/rotation-externe-epaule-haltere.gif
Exercices epaules,Handstand push-up,"La plupart des gens font des variantes du overhead press (développé militaire) et différents exercices d’isolation pour se muscler les épaules. Pourtant, il existe un exercice de musculation oublié de tous, qui mettra à l’épreuve même les plus forts d’entre nous… c’est le handstand push-up (HSPU).",https://www.docteur-fitness.com/wp-content/uploads/2022/04/handstand-push-up.gif
Exercices epaules,Pompes piquées,"Les pompes piquées ou pompes pour les épaules (en anglais pike push-up) sont un excellent exercice pour muscler les deltoïdes antérieurs, les triceps et le haut des pectoraux au poids de corps. Les pompes piquées sont un très bon exercice de transition si vous souhaitez acquérir de la force pour faire le handstand push-up.",https://www.docteur-fitness.com/wp-content/uploads/2022/06/pike-push-up.gif
Exercices epaules,Croix de fer avec haltères,"Il y a de fortes chances que vous n’ayez jamais entendu parler de cet exercice ou que vous ne l’ayez jamais vu être effectué. Et pourtant, la croix de fer avec haltères (en anglais dumbbell iron cross) a tout à fait sa place dans tout programme d’entraînement.",https://www.docteur-fitness.com/wp-content/uploads/2022/04/croix-de-fer-halteres.gif
Exercices epaules,Extension horizontale des épaules avec élastique,"Cet exercice avec élastique (appelé en anglais band pull apart) est excellent pour travailler et renforcer les muscles de l’arrière des épaules. Avec un élastique de faible résistance, les extensions horizontales des épaules sont excellentes pour échauffer cette zone du haut du dos, mais aussi pour réaliser des exercices de rééducation.",https://www.docteur-fitness.com/wp-content/uploads/2022/03/extension-horizontale-de-epaule-elastique.gif
Exercices epaules,Thruster avec kettlebell,Le thruster avec kettlebell est une variante du thruster avec haltères. C’est un exercice combiné qui associe le mouvement du squat avant à celui du développé militaire.,https://www.docteur-fitness.com/wp-content/uploads/2021/12/thruster-kettlebell.gif
Exercices epaules,Développé épaule unilatéral à genou avec landmine,"Le développé épaule avec landmine est une variante exceptionnelle du mouvement de base qu’est le développé vertical. En raison de l’angle de travail particulier selon lequel vous poussez vers le haut et l’avant en même temps, cet exercice peut ajouter une toute nouvelle dimension à votre entraînement pour les épaules. Si vous ne travaillez qu’avec des barres et des haltères, cet exercice peut vous permettre d’obtenir d’excellents résultats.",https://www.docteur-fitness.com/wp-content/uploads/2022/11/developpe-epaules-unilateral-landmine.gif
Exercices epaules,Élévations latérales unilatérales à la poulie,"Si vous voulez des épaules larges, qui donneront l’illusion d’une taille fine, et si vous voulez que vos muscles deltoïdes soient bien ronds, il est essentiel de ne pas se contenter de faire des exercices de développé épaules, mais de faire aussi des exercices d’élévation latérale.",https://www.docteur-fitness.com/wp-content/uploads/2022/11/elevations-laterales-unilaterale-poulie.gif
Exercices epaules,Développé épaules assis avec élastique,"Le développé épaules assis avec élastique est un exercice idéal à faire à la maison ou au bureau pour renforcer et développer des deltoïdes forts et musclés. Bien que cet exercice se concentre sur les muscles des épaules, il s’agit d’un mouvement qui permet aussi de travailler les triceps.",https://www.docteur-fitness.com/wp-content/uploads/2022/11/developpe-epaules-assis-avec-elastique.gif
Exercices epaules,Développé épaules à la machine,"Le développé épaules (en anglais overhead press) peut être réalisé avec des haltères, une barre ou une machine. Les développés avec barre sont privilégiés dans les sports de force, et les haltères sont tout aussi populaires auprès des amateurs de musculation, mais il ne faut pas perdre de vue que les machines peuvent être une alternative aux mouvements composés de base, tant pour diversifier la gamme d’exercices que pour bénéficier des avantages uniques des machines.",https://www.docteur-fitness.com/wp-content/uploads/2022/11/developpe-epaules-a-la-machine-shoulder-press.gif
Exercices epaules,Oiseau inversé avec sangles de suspension,L’oiseau inversé fait partie des exercices les plus élémentaires pour l’entraînement des épaules. Ce mouvement au poids du corps cible l’arrière des épaules et le haut du dos en utilisant des sangles de suspension ou des anneaux de gymnastique.,https://www.docteur-fitness.com/wp-content/uploads/2022/10/oiseau-inverse-avec-sangles-de-suspension.gif
Exercices epaules,Thruster avec landmine,"Le thruster avec landmine est un exercice combiné qui associe un squat avec landmine et un développé épaule à la landmine. Cet exercice complet cible à la fois les muscles des quadriceps et des épaules, mais tous les autres muscles seront également impliqués pour aider au mouvement et à la stabilisation. Il est idéal dans le cadre de séances d’entraînement visant à brûler un grand nombre de calories et améliorer les performances générales.",https://www.docteur-fitness.com/wp-content/uploads/2022/10/thruster-landmine.gif
Exercices epaules,Rotations cubaines,"La rotation cubaine avec haltères n’a pas pour but de développer la masse musculaire. Il s’agit d’un exercice qui permet de préserver la santé de l’épaule en renforçant trois des quatre muscles de la coiffe des rotateurs : petit rond, infra-épineux et supra-épineux (le muscle restant de la coiffe des rotateurs étant le sous-scapulaire). Les muscles de la coiffe des rotateurs et leurs tendons contribuent à stabiliser votre épaule. Leur renforcement permet donc d’obtenir une articulation de l’épaule forte et stable.",https://www.docteur-fitness.com/wp-content/uploads/2022/06/rotation-externe-vertical-epaule-haltere.gif
Exercices epaules,Élévations frontales à la poulie basse,"Les élévations frontales à la poulie (double cable front raise) sont un exercice d’isolation qui permet de muscler et de renforcer les deltoïdes antérieurs. L’utilisation des poulies constitue une excellente alternative aux haltères, car le muscle est soumis à une tension constante, ce qui contribue à la prise de masse et de force musculaire.",https://www.docteur-fitness.com/wp-content/uploads/2022/04/elevation-frontale-poulie-basse.gif
Exercices epaules,Thruster,"Depuis sa création, le CrossFit a fait découvrir de nombreux exercices et méthodes d’entraînement moins connus à un public plus large. Sans le CrossFit, les kettlebells n’auraient probablement pas connu un tel regain de popularité. Très peu de salles de sport auraient des rameurs Concept II ou des vélos d’assaut comme équipements standard. Et les seules personnes pratiquant des activités telles que la gymnastique, l’haltérophilie olympique et le powerlifting seraient des gymnastes, des haltérophiles et des powerlifters !",https://www.docteur-fitness.com/wp-content/uploads/2022/04/thruster.gif
Exercices epaules,Développé nuque barre guidée,"Cet exercice, réalisé à l’aide d’une Smith machine, entraîne une pression sur les muscles de la coiffe des rotateurs qui stabilisent les articulations de l’épaule. C’est pour cette raison qu’il est préférable de prendre une petite charge et de respecter le mouvement plutôt que de soulever trop de poids et de risquer de se blesser. Par ailleurs, le fait d’amener la charge derrière votre cou avec une charge lourde peut placer votre articulation de l’épaule dans une position susceptible de l’endommager ou de la disloquer.",https://www.docteur-fitness.com/wp-content/uploads/2022/08/developpe-nuque-barre-guidee.gif
Exercices biceps,Curl à la barre,"L’entraînement des biceps peut être relégué au second plan par rapport à des mouvements de force plus populaires comme le squat, le soulevé de terre et le développé couché.",https://www.docteur-fitness.com/wp-content/uploads/2021/09/curl-barre.gif
Exercices biceps,Curl concentré,"Le curl concentré est un mouvement de la vieille école qui peut produire de vrais résultats, mais seulement si vous êtes prêt à travailler avec une bonne technique.",https://www.docteur-fitness.com/wp-content/uploads/2021/09/curl-concentre.gif
Exercices biceps,Curl pupitre barre EZ,"Le curl assis au pupitre barre EZ (en anglais curl Larry Scott, du nom de son inventeur) offre un certain nombre d’avantages que vous ne trouverez peut-être pas dans un curl biceps classique. La conception de l’exercice permet de concentrer l’attention sur la partie négative de chaque répétition (lorsque vous redescendez la charge en position de départ). Cela favorise une forte connexion entre le cerveau et le muscle et maximise le temps sous tension ; deux aspects importants de la croissance musculaire.",https://www.docteur-fitness.com/wp-content/uploads/2022/01/curl-au-pupitre-barre-ez-larry-scott.gif
Exercices biceps,Curl allongé à la poulie,"Le curl allongé à la poulie est un exercice qui isole parfaitement les biceps, mais également les avant-bras. En position allongée, votre corps ne peut pas se pencher vers l’avant et utiliser l’élan pour soulever la charge. Cela permet de maximiser le travail du biceps brachial.",https://www.docteur-fitness.com/wp-content/uploads/2022/01/curl-allonge-a-la-poulie.gif
Exercices biceps,Curl poulie en position squat,"Cette variante du curl à la poulie (en anglais squatting cable curl) est un exercice qui permet de développer et renforcer les biceps, avec le corps en position de squat statique.",https://www.docteur-fitness.com/wp-content/uploads/2022/02/curl-poulie-en-position-squat.gif
Exercices biceps,Curl au pupitre à la poulie,"Depuis que Pumping Iron a popularisé le culturisme moderne en 1977, l’hypertrophie du biceps brachial a depuis été au premier plan de pratiquement tous les programmes de musculation depuis.",https://www.docteur-fitness.com/wp-content/uploads/2022/02/curl-pupitre-poulie.gif
Exercices biceps,Curl biceps assis à la machine,"Le curl biceps assis à la machine est un excellent exercice pour ceux qui souhaitent entraîner leurs biceps de manière intensive, et en toute sécurité. En fonction de la machine, vous avez la possibilité d’utiliser une prise en supination, une prise en pronation et, si la machine le permet, une prise neutre.",https://www.docteur-fitness.com/wp-content/uploads/2022/01/curl-pupitre-machine-prechargee.gif
Exercices biceps,Curl haltère debout sur banc incliné,Le curl debout avec haltère sur banc incliné (en anglais standing one-arm dumbbell curl over incline bench) est un mélange du curl sur un pupitre et du curl concentré. Le bras est en position fixe et le mouvement est lent et concentré.,https://www.docteur-fitness.com/wp-content/uploads/2022/02/curl-haltere-debout-banc-incline.gif
Exercices biceps,Curl Spider,Le curl spider (que certains traduisent en curl araignée) est un exercice d’isolation efficace pour développer les biceps. L’utilisation d’un banc incliné comme support permet de réaliser un mouvement strict et efficace.,https://www.docteur-fitness.com/wp-content/uploads/2022/01/spider-curl.gif
Exercices biceps,Curl haltère incliné avec rotation,Le curl incliné avec haltères est une variante du curl traditionnel avec haltères utilisée pour augmenter la taille des biceps.,https://www.docteur-fitness.com/wp-content/uploads/2021/10/curl-haltere-incline.gif
Exercices biceps,Curl biceps à la poulie basse,"Le curl à la poulie fait principalement travailler le biceps brachial, qui est le muscle à deux chefs situé à l’avant de votre bras et qui fusionne en un seul ventre musculaire près du coude.",https://www.docteur-fitness.com/wp-content/uploads/2021/10/curl-biceps-poulie-basse.gif
Exercices biceps,Traction supination,"Une traction en supination (chin up) est un exercice composé qui permet de faire travailler plusieurs groupes de muscles du haut du corps, en particulier ceux du dos (grands dorsaux, grands ronds et trapèzes).",https://www.docteur-fitness.com/wp-content/uploads/2021/08/chin-up-traction-supination.gif
Exercices biceps,Curl Zottman,"Le curl Zottman est un exercice unique avec haltères qui combine un curl biceps classique (main en supination), une rotation des poignets en haut du mouvement, puis un curl en prise inversée (main en pronation) pour revenir à la position de départ.",https://www.docteur-fitness.com/wp-content/uploads/2022/01/curl-zottman.gif
Exercices biceps,Curl en prise marteau avec élastique,"L’utilisation de bandes est un moyen ludique et efficace de varier vos entraînements et de stimuler votre corps. Les bandes élastiques offrent une résistance et une tension à toutes les étapes du mouvement, la partie négative de l’exercice (excentrique) ainsi que la phase positive (concentrique).",https://www.docteur-fitness.com/wp-content/uploads/2022/01/curl-avec-elastique.gif
Exercices biceps,Curl à la poulie vis-à-vis,Le curl à la poulie vis à vis est un exercice d’isolation permettant de muscler et de renforcer les biceps.,https://www.docteur-fitness.com/wp-content/uploads/2021/10/curl-poulie-vis-a-vis.gif
Exercices biceps,Drag curl avec haltères,"La plupart des gens sont d’accord pour dire qu’un curl est un curl, quelle que soit la façon dont on le fait. C’est vrai dans la plupart des cas. Mais il existe certaines variantes qui permettent de travailler plus efficacement vos muscles, et de maximiser vos résultats.",https://www.docteur-fitness.com/wp-content/uploads/2022/09/drag-curl-halteres-assis.gif
Exercices biceps,Curl inversé à la barre,"Le curl inversé à la barre ou curl barre en pronation (en anglais reverse barbell curl) est un exercice incontournable pour l’entraînement des bras. Bien sûr, le curl classique à la barre fait travailler les mêmes muscles (brachio-radial, brachial et biceps), mais la variante du curl inversé permet de cibler plus efficacement un muscle.",https://www.docteur-fitness.com/wp-content/uploads/2022/04/curl-inverse-barre.gif
Exercices biceps,Curl haltères prise neutre,"Des bras plus gros et plus forts figurent généralement en haut de la liste des priorités des pratiquants de la musculation. Pour cela, le curl en prise neutre ou curl marteau est un excellent exercice qui vous aidera à développer les biceps, qui à l’avantage de travailler également les avant-bras (le muscle long supinateur).",https://www.docteur-fitness.com/wp-content/uploads/2022/09/curl-haltere-prise-neutre.gif
Exercices biceps,Drag curl à la Smith machine,"Les drag curls à la Smith Machine sont un excellent exercice pour isoler le muscle biceps, car la stabilité de la barre est assurée par le cadre guidé. Ainsi, vous pouvez vous concentrer à 100 % sur l’explosion de vos biceps pour tirer le meilleur parti de chaque répétition.",https://www.docteur-fitness.com/wp-content/uploads/2022/08/drag-curl-smith-machine.gif
Exercices biceps,Drag curl,"Le drag curl à la barre est une variante du curl avec barre qui permet de muscler les biceps. Avoir de gros biceps est un objectif pour de nombreux sportifs soucieux de leur apparence. L’intégration d’une multitude de variantes de curl, comme le drag curl avec haltères, dans votre entraînement de biceps contribuera au développement de biceps volumineux et forts.",https://www.docteur-fitness.com/wp-content/uploads/2022/06/drag-curl.gif
Exercices biceps,Curl biceps alterné avec haltères,Le curl biceps alterné avec haltères (en anglais Twisting Standing Dumbbell Curl) est un exercice populaire pour la musculation des biceps. Les avant-bras sont secondairement sollicités et les muscles abdominaux sont engagés pour stabiliser le haut du corps.,https://www.docteur-fitness.com/wp-content/uploads/2022/08/curl-biceps-avec-halteres-alterne.gif
Exercices biceps,Waiter curl,"Le waiter curl n’est pas un exercice que vous verrez souvent dans votre salle de musculation. La plupart des débutants connaissent déjà d’autres variantes de curl pour les biceps, comme le curl à la barre, le curl avec haltères et le curl à la poulie, mais le waiter curl est très différent de toutes les autres variantes de curl pour les biceps.",https://www.docteur-fitness.com/wp-content/uploads/2022/06/waiter-curl.gif
Exercices biceps,Curl biceps alterné en supination sur banc incliné,"Le curl avec haltères inclinés (en anglais Dumbbell Incline Curl) est un exercice de musculation très apprécié et est couramment inclus dans les programmes d’entraînement pour les bras des bodybuilders qui souhaitent travailler la partie longue de leurs biceps. En effet, comme cet exercice est réalisé avec les bras derrière le corps, il permet d’étirer davantage la longue portion du biceps par rapport aux autres variantes de curl.",https://www.docteur-fitness.com/wp-content/uploads/2022/09/curl-biceps-alterne-sur-banc-incline.gif
Exercices biceps,Curl biceps avec élastique,"Le curl biceps avec élastique, également appelé « Band Biceps Curl » en anglais, est un exercice de musculation qui permet de renforcer et de muscler le biceps brachial. Cet exercice est idéal pour ceux qui n’ont pas accès à une salle de sport ou à des charges libres, car il peut être effectué facilement à la maison ou en déplacement en utilisant simplement un élastique de résistance. Non seulement il cible spécifiquement les biceps (c’est un exercice d’isolation), mais il sollicite également les muscles stabilisateurs, contribuant ainsi à améliorer l’équilibre et la coordination.",https://www.docteur-fitness.com/wp-content/uploads/2023/07/curl-biceps-prise-pronation-bande-elastique.gif
Exercices biceps,Curl unilatéral avec sangles de suspension,"Vous n’avez ni le temps ni le budget pour vous abonner à une salle de sport ? Vous faites peut-être partie de ces personnes qui pensent qu’une salle de musculation n’est pas faite pour vous ? Avec les sangles de suspension TRX, tout ce dont vous avez besoin, c’est du poids de votre corps et d’un petit espace pour effectuer une séance d’entraînement parfaite.",https://www.docteur-fitness.com/wp-content/uploads/2022/11/curl-unilateral-avec-sangles-de-suspension.gif
Exercices biceps,Curl haltère prise marteau au pupitre,"Le curl haltère en prise marteau est un exercice très efficace qui cible le muscle brachio-radial, le muscle brachial, et le biceps.",https://www.docteur-fitness.com/wp-content/uploads/2021/10/curl-haltere-prise-marteau-pupitre.gif
Exercices biceps,Curl avec sangles de suspension,"Le curl biceps avec sangles de suspension permet de se muscler les biceps au poids de corps à la maison ou à l’extérieur, du moment que vous trouvez un point d’ancrage pour vos sangles. En plus de travailler vos biceps, cet exercice vous aide à développer votre équilibre et les muscles de la ceinture abdominale. Pour augmenter le niveau de difficulté de cet exercice, il suffit de modifier la position du corps et l’angle des sangles. Cet exercice convient donc aussi bien aux débutants qu’aux athlètes confirmés.",https://www.docteur-fitness.com/wp-content/uploads/2022/10/curl-avec-sangles-de-suspension.gif
Exercices biceps,Curl incliné à la poulie,Le curl incliné à la poulie est un exercice d’isolation très efficace pour développer les biceps et les muscles de l’avant-bras.,https://www.docteur-fitness.com/wp-content/uploads/2022/05/curl-incline-poulie.gif
Exercices triceps,Extension des triceps en planche,"L’extension des triceps au poids du corps que je vous propose de découvrir ne nécessite absolument aucun équipement et reste pourtant remarquablement efficace pour renforcer les muscles de l’arrière des bras. Tout ce dont vous avez besoin, c’est de temps libre (10 minutes) et d’une bonne tolérance à l’acide lactique dans les triceps. C’est un exercice avancé que peu de personnes sont capables de faire dans les règles de l’art. Avec une bonne technique, il permet d’isoler presque complètement les triceps. Et plus votre triceps brachial est faible, plus le grand pectoral et le deltoïde antérieur devront être sollicités pour faire le mouvement.",https://www.docteur-fitness.com/wp-content/uploads/2023/07/extensions-triceps-planche.gif
Exercices triceps,Barre front,Le « barre front » (lying barbell tricep extension) est un exercice d’extension des triceps effectué couché avec une barre.,https://www.docteur-fitness.com/wp-content/uploads/2000/09/barre-front.gif
Exercices triceps,Dips aux barres parallèles,"Les dips sont un des exercices de musculation les plus sous-estimés. Avec l’abondance de machines disponibles pour travailler les bras, les épaules et les pectoraux, on a tendance à oublier certains exercices au poids de corps qui pourtant sont redoutablement efficaces.",https://www.docteur-fitness.com/wp-content/uploads/2000/01/dips-pectoraux.gif
Exercices triceps,Extensions verticales d’un bras avec haltère,"Cet exercice d’isolation est parfait pour renforcer, développer et tonifier le triceps brachial, muscle situé à l’arrière du bras.",https://www.docteur-fitness.com/wp-content/uploads/2022/09/extension-triceps-haltere-un-bras.gif
Exercices triceps,Extension verticale assis à la barre,"L’extension verticale des triceps à la barre (en anglais overhead tricep extension) est un exercice d’isolation qui permet de développer la masse musculaire et la force des triceps, notamment la longue portion du triceps.",https://www.docteur-fitness.com/wp-content/uploads/2022/04/extension-verticale-assis-barre.gif
Exercices triceps,Extensions des triceps à la machine Technogym,"Les extensions des triceps à la machine (en anglais lever triceps extension) sont un excellent exercice pour isoler le muscle triceps brachial, le muscle composé de trois chefs situés à l’arrière du bras.",https://www.docteur-fitness.com/wp-content/uploads/2022/02/extension-triceps-machine-technogym.gif
Exercices triceps,Dips sur une chaise,Les dips sur une chaise sont un excellent exercice de musculation qui permet de travailler les triceps. Il sollicite également dans une moindre mesure les muscles pectoraux et les deltoïdes antérieurs.,https://www.docteur-fitness.com/wp-content/uploads/2022/01/dips-sur-une-chaise.gif
